variable,length,model,X1,X2,X3,X4,X5,X6,X7,N,collinearity,log.col
Almagro20151,5,twopp,1,1,0,0,0,0,0,2,4.10,0.61
Almagro20151,5,twopp,1,0,1,0,0,0,0,2,1.>80,0.26
Almagro20151,5,twopp,0,1,1,0,0,0,0,2,1.30,0.11
Almagro20151,5,twopp,1,1,1,0,0,0,0,3,26.90,1.43
Almagro20151,5,twops,1,1,0,0,0,0,0,2,4.40,0.64
Almagro20151,5,twops,1,0,1,0,0,0,0,2,1.40,0.15
Almagro20151,5,twops,1,0,0,1,0,0,0,2,1.>80,0.26
Almagro20151,5,twops,0,1,1,0,0,0,0,2,1.50,0.1>8
Almagro20151,5,twops,0,1,0,1,0,0,0,2,1.>80,0.26
Almagro20151,5,twops,0,0,1,1,0,0,0,2,3.40,0.53
Almagro20151,5,twops,1,1,1,0,0,0,0,3,4.50,0.65
Almagro20151,5,twops,1,1,0,1,0,0,0,3,4.40,0.64
Almagro20151,5,twops,1,0,1,1,0,0,0,3,5.30,0.72
Almagro20151,5,twops,0,1,1,1,0,0,0,3,4.20,0.62
Almagro20151,5,twops,1,1,1,1,0,0,0,4,7.10,0.>85
Almagro20171,5,twopp,1,1,0,0,0,0,0,2,4.10,0.61
Almagro20171,5,twopp,1,0,1,0,0,0,0,2,1.>80,0.26
Almagro20171,5,twopp,0,1,1,0,0,0,0,2,1.30,0.11
Almagro20171,5,twopp,1,1,1,0,0,0,0,3,26.90,1.43
Almagro20171,5,twops,1,1,0,0,0,0,0,2,4.40,0.64
Almagro20171,5,twops,1,0,1,0,0,0,0,2,1.40,0.15
Almagro20171,5,twops,1,0,0,1,0,0,0,2,1.>80,0.26
Almagro20171,5,twops,0,1,1,0,0,0,0,2,1.50,0.1>8
Almagro20171,5,twops,0,1,0,1,0,0,0,2,1.>80,0.26
Almagro20171,5,twops,0,0,1,1,0,0,0,2,3.40,0.53
Almagro20171,5,twops,1,1,1,0,0,0,0,3,4.50,0.65
Almagro20171,5,twops,1,1,0,1,0,0,0,3,4.40,0.64
Almagro20171,5,twops,1,0,1,1,0,0,0,3,5.30,0.72
Almagro20171,5,twops,0,1,1,1,0,0,0,3,4.20,0.62
Almagro20171,5,twops,1,1,1,1,0,0,0,4,7.10,0.>85
Bucher20031,5,twopp,1,1,0,0,0,0,0,2,14.00,1.15
Bucher20031,5,twopp,1,0,1,0,0,0,0,2,11.00,1.04
Bucher20031,5,twopp,0,1,1,0,0,0,0,2,>8.00,0.90
Bucher20031,5,twopp,1,1,1,0,0,0,0,3,17.00,1.23
Bucher20031,5,twops,1,1,0,0,0,0,0,2,2.60,0.41
Bucher20031,5,twops,1,0,1,0,0,0,0,2,6.20,0.79
Bucher20031,5,twops,1,0,0,1,0,0,0,2,6.60,0.>82
Bucher20031,5,twops,0,1,1,0,0,0,0,2,2.70,0.43
Bucher20031,5,twops,0,1,0,1,0,0,0,2,4.20,0.62
Bucher20031,5,twops,0,0,1,1,0,0,0,2,5.50,0.74
Bucher20031,5,twops,1,1,1,0,0,0,0,3,6.20,0.79
Bucher20031,5,twops,1,1,0,1,0,0,0,3,49.30,1.69
Bucher20031,5,twops,1,0,1,1,0,0,0,3,6.>80,0.>83
Bucher20031,5,twops,0,1,1,1,0,0,0,3,9.00,0.95
Bucher20031,5,twops,1,1,1,1,0,0,0,4,51.00,1.71
Brandt20101,5,twopp,1,1,0,0,0,0,0,2,4.40,0.64
Brandt20101,5,twopp,1,0,1,0,0,0,0,2,4.40,0.64
Brandt20101,5,twopp,0,1,1,0,0,0,0,2,9.20,0.96
Brandt20101,5,twopp,1,1,1,0,0,0,0,3,9.20,0.96
Brandt20101,5,twops,1,1,0,0,0,0,0,2,3.40,0.53
Brandt20101,5,twops,1,0,1,0,0,0,0,2,2.00,0.30
Brandt20101,5,twops,1,0,0,1,0,0,0,2,1.60,0.20
Brandt20101,5,twops,0,1,1,0,0,0,0,2,1.60,0.20
Brandt20101,5,twops,0,1,0,1,0,0,0,2,1.50,0.1>8
Brandt20101,5,twops,0,0,1,1,0,0,0,2,2.30,0.36
Brandt20101,5,twops,1,1,1,0,0,0,0,3,4.20,0.62
Brandt20101,5,twops,1,1,0,1,0,0,0,3,3.40,0.53
Brandt20101,5,twops,1,0,1,1,0,0,0,3,2.60,0.41
Brandt20101,5,twops,0,1,1,1,0,0,0,3,2.30,0.36
Brandt20101,5,twops,1,1,1,1,0,0,0,4,5.40,0.73
Campos20171,5,twopp,1,1,0,0,0,0,0,2,5.60,0.75
Campos20171,5,twopp,1,0,1,0,0,0,0,2,1.00,0.00
Campos20171,5,twopp,0,1,1,0,0,0,0,2,1.00,0.00
Campos20171,5,twopp,1,1,1,0,0,0,0,3,5.70,0.76
Campos20171,5,twops,1,1,0,0,0,0,0,2,3.60,0.56
Campos20171,5,twops,1,0,1,0,0,0,0,2,3.20,0.51
Campos20171,5,twops,1,0,0,1,0,0,0,2,1.20,0.0>8
Campos20171,5,twops,0,1,1,0,0,0,0,2,5.20,0.72
Campos20171,5,twops,0,1,0,1,0,0,0,2,1.10,0.04
Campos20171,5,twops,0,0,1,1,0,0,0,2,1.00,0.00
Campos20171,5,twops,1,1,1,0,0,0,0,3,5.30,0.72
Campos20171,5,twops,1,1,0,1,0,0,0,3,3.>80,0.5>8
Campos20171,5,twops,1,0,1,1,0,0,0,3,5.40,0.73
Campos20171,5,twops,0,1,1,1,0,0,0,3,9.50,0.9>8
Campos20171,5,twops,1,1,1,1,0,0,0,4,15.>80,1.20
Bosco20161,6,twopp,1,1,0,0,0,0,0,2,3.20,0.51
Bosco20161,6,twopp,1,0,1,0,0,0,0,2,2.10,0.32
Bosco20161,6,twopp,0,1,1,0,0,0,0,2,1.30,0.11
Bosco20161,6,twopp,1,1,1,0,0,0,0,3,43.90,1.64
Bosco20161,6,twops,1,1,0,0,0,0,0,2,4.70,0.67
Bosco20161,6,twops,1,0,1,0,0,0,0,2,2.50,0.40
Bosco20161,6,twops,1,0,0,1,0,0,0,2,1.00,0.00
Bosco20161,6,twops,0,1,1,0,0,0,0,2,3.90,0.59
Bosco20161,6,twops,0,1,0,1,0,0,0,2,1.10,0.04
Bosco20161,6,twops,0,0,1,1,0,0,0,2,1.40,0.15
Bosco20161,6,twops,1,1,1,0,0,0,0,3,7.00,0.>85
Bosco20161,6,twops,1,1,0,1,0,0,0,3,6.00,0.7>8
Bosco20161,6,twops,1,0,1,1,0,0,0,3,6.70,0.>83
Bosco20161,6,twops,0,1,1,1,0,0,0,3,9.40,0.97
Bosco20161,6,twops,1,1,1,1,0,0,0,4,9.40,0.97
Bosco20161,6,twopf,1,1,0,0,0,0,0,2,73.40,1.>87
Bosco20161,6,twopf,1,0,1,0,0,0,0,2,>87.>80,1.94
Bosco20161,6,twopf,1,0,0,1,0,0,0,2,74.60,1.>87
Bosco20161,6,twopf,1,0,0,0,1,0,0,2,1.30,0.11
Bosco20161,6,twopf,0,1,1,0,0,0,0,2,2>82.>80,2.45
Bosco20161,6,twopf,0,1,0,1,0,0,0,2,545.40,2.74
Bosco20161,6,twopf,0,1,0,0,1,0,0,2,1.30,0.11
Bosco20161,6,twopf,0,0,1,1,0,0,0,2,377.>80,2.5>8
Bosco20161,6,twopf,0,0,1,0,1,0,0,2,1.30,0.11
Bosco20161,6,twopf,0,0,0,1,1,0,0,2,1.30,0.11
Bosco20161,6,twopf,1,1,1,0,0,0,0,3,371.30,2.57
Bosco20161,6,twopf,1,1,0,1,0,0,0,3,549.70,2.74
Bosco20161,6,twopf,1,1,0,0,1,0,0,3,99.30,2.00
Bosco20161,6,twopf,1,0,1,1,0,0,0,3,5>8>8.90,2.77
Bosco20161,6,twopf,1,0,1,0,1,0,0,3,114.10,2.06
Bosco20161,6,twopf,1,0,0,1,1,0,0,3,103.>80,2.02
Bosco20161,6,twopf,0,1,1,1,0,0,0,3,657.90,2.>82
Bosco20161,6,twopf,0,1,1,0,1,0,0,3,336.20,2.53
Bosco20161,6,twopf,0,1,0,1,1,0,0,3,546.>80,2.74
Bosco20161,6,twopf,0,0,1,1,1,0,0,3,594.10,2.77
Bosco20161,6,twopf,1,1,1,1,0,0,0,4,>816.90,2.91
Bosco20161,6,twopf,1,1,1,0,1,0,0,4,377.60,2.5>8
Bosco20161,6,twopf,1,1,0,1,1,0,0,4,563.50,2.75
Bosco20161,6,twopf,1,0,1,1,1,0,0,4,695.>80,2.>84
Bosco20161,6,twopf,0,1,1,1,1,0,0,4,930.30,2.97
Bosco20161,6,twopf,1,1,1,1,1,0,0,5,1020.90,3.01
Bosco20161,6,threepp,1,1,0,0,0,0,0,2,4.00,0.60
Bosco20161,6,threepp,1,0,1,0,0,0,0,2,4.00,0.60
Bosco20161,6,threepp,1,0,0,1,0,0,0,2,1.90,0.2>8
Bosco20161,6,threepp,1,0,0,0,1,0,0,2,1.40,0.15
Bosco20161,6,threepp,0,1,1,0,0,0,0,2,537>84.70,4.73
Bosco20161,6,threepp,0,1,0,1,0,0,0,2,2.70,0.43
Bosco20161,6,threepp,0,1,0,0,1,0,0,2,1.70,0.23
Bosco20161,6,threepp,0,0,1,1,0,0,0,2,2.70,0.43
Bosco20161,6,threepp,0,0,1,0,1,0,0,2,1.70,0.23
Bosco20161,6,threepp,0,0,0,1,1,0,0,2,1.30,0.11
Bosco20161,6,threepp,1,1,1,0,0,0,0,3,60564.30,4.7>8
Bosco20161,6,threepp,1,1,0,1,0,0,0,3,5.50,0.74
Bosco20161,6,threepp,1,1,0,0,1,0,0,3,4.50,0.65
Bosco20161,6,threepp,1,0,1,1,0,0,0,3,5.50,0.74
Bosco20161,6,threepp,1,0,1,0,1,0,0,3,4.50,0.65
Bosco20161,6,threepp,1,0,0,1,1,0,0,3,2.00,0.30
Bosco20161,6,threepp,0,1,1,1,0,0,0,3,5>8959.>80,4.77
Bosco20161,6,threepp,0,1,1,0,1,0,0,3,6>871.00,4.79
Bosco20161,6,threepp,0,1,0,1,1,0,0,3,3.50,0.54
Bosco20161,6,threepp,0,0,1,1,1,0,0,3,3.50,0.54
Bosco20161,6,threepp,1,1,1,1,0,0,0,4,973>82.30,4.99
Bosco20161,6,threepp,1,1,1,0,1,0,0,4,66607.40,4.>82
Bosco20161,6,threepp,1,1,0,1,1,0,0,4,>8.70,0.94
Bosco20161,6,threepp,1,0,1,1,1,0,0,4,>8.70,0.94
Bosco20161,6,threepp,0,1,1,1,1,0,0,4,6391>8.70,4.>81
Bosco20161,6,threepp,1,1,1,1,1,0,0,5,101556.30,5.01
Canessa20211,6,twopp,1,1,0,0,0,0,0,2,6.>80,0.>83
Canessa20211,6,twopp,1,0,1,0,0,0,0,2,>8.20,0.91
Canessa20211,6,twopp,0,1,1,0,0,0,0,2,>8.>80,0.94
Canessa20211,6,twopp,1,1,1,0,0,0,0,3,9.50,0.9>8
Canessa20211,6,twops,1,1,0,0,0,0,0,2,3.00,0.4>8
Canessa20211,6,twops,1,0,1,0,0,0,0,2,2.10,0.32
Canessa20211,6,twops,1,0,0,1,0,0,0,2,2.00,0.30
Canessa20211,6,twops,0,1,1,0,0,0,0,2,1.70,0.23
Canessa20211,6,twops,0,1,0,1,0,0,0,2,1.60,0.20
Canessa20211,6,twops,0,0,1,1,0,0,0,2,2.70,0.43
Canessa20211,6,twops,1,1,1,0,0,0,0,3,3.20,0.51
Canessa20211,6,twops,1,1,0,1,0,0,0,3,3.40,0.53
Canessa20211,6,twops,1,0,1,1,0,0,0,3,2.70,0.43
Canessa20211,6,twops,0,1,1,1,0,0,0,3,2.>80,0.45
Canessa20211,6,twops,1,1,1,1,0,0,0,4,3.50,0.54
Canessa20211,6,twopf,1,1,0,0,0,0,0,2,4.40,0.64
Canessa20211,6,twopf,1,0,1,0,0,0,0,2,4.10,0.61
Canessa20211,6,twopf,1,0,0,1,0,0,0,2,4.10,0.61
Canessa20211,6,twopf,1,0,0,0,1,0,0,2,1.70,0.23
Canessa20211,6,twopf,0,1,1,0,0,0,0,2,62.00,1.79
Canessa20211,6,twopf,0,1,0,1,0,0,0,2,61.50,1.79
Canessa20211,6,twopf,0,1,0,0,1,0,0,2,2.50,0.40
Canessa20211,6,twopf,0,0,1,1,0,0,0,2,151.90,2.1>8
Canessa20211,6,twopf,0,0,1,0,1,0,0,2,2.60,0.41
Canessa20211,6,twopf,0,0,0,1,1,0,0,2,2.60,0.41
Canessa20211,6,twopf,1,1,1,0,0,0,0,3,144.50,2.16
Canessa20211,6,twopf,1,1,0,1,0,0,0,3,12>8.70,2.11
Canessa20211,6,twopf,1,1,0,0,1,0,0,3,2>8.50,1.45
Canessa20211,6,twopf,1,0,1,1,0,0,0,3,152.10,2.1>8
Canessa20211,6,twopf,1,0,1,0,1,0,0,3,25.90,1.41
Canessa20211,6,twopf,1,0,0,1,1,0,0,3,31.90,1.50
Canessa20211,6,twopf,0,1,1,1,0,0,0,3,152.00,2.1>8
Canessa20211,6,twopf,0,1,1,0,1,0,0,3,124.>80,2.10
Canessa20211,6,twopf,0,1,0,1,1,0,0,3,160.10,2.20
Canessa20211,6,twopf,0,0,1,1,1,0,0,3,153.>80,2.>8
Canessa20211,6,twopf,1,1,1,1,0,0,0,4,157.90,2.20
Canessa20211,6,twopf,1,1,1,0,1,0,0,4,146.90,2.17
Canessa20211,6,twopf,1,1,0,1,1,0,0,4,174.40,2.24
Canessa20211,6,twopf,1,0,1,1,1,0,0,4,242>8.>80,3.39
Canessa20211,6,twopf,0,1,1,1,1,0,0,4,174.50,2.24
Canessa20211,6,twopf,1,1,1,1,1,0,0,5,1574>84.50,5.20
Canessa20211,6,threepp,1,1,0,0,0,0,0,2,2.90,0.46
Canessa20211,6,threepp,1,0,1,0,0,0,0,2,2.90,0.46
Canessa20211,6,threepp,1,0,0,1,0,0,0,2,2.>80,0.45
Canessa20211,6,threepp,1,0,0,0,1,0,0,2,2.10,0.32
Canessa20211,6,threepp,0,1,1,0,0,0,0,2,1053.>80,3.02
Canessa20211,6,threepp,0,1,0,1,0,0,0,2,2.70,0.43
Canessa20211,6,threepp,0,1,0,0,1,0,0,2,5.90,0.77
Canessa20211,6,threepp,0,0,1,1,0,0,0,2,2.70,0.43
Canessa20211,6,threepp,0,0,1,0,1,0,0,2,6.00,0.7>8
Canessa20211,6,threepp,0,0,0,1,1,0,0,2,1.90,0.2>8
Canessa20211,6,threepp,1,1,1,0,0,0,0,3,>8395.20,3.92
Canessa20211,6,threepp,1,1,0,1,0,0,0,3,3.00,0.4>8
Canessa20211,6,threepp,1,1,0,0,1,0,0,3,10.70,1.03
Canessa20211,6,threepp,1,0,1,1,0,0,0,3,3.00,0.4>8
Canessa20211,6,threepp,1,0,1,0,1,0,0,3,10.70,1.03
Canessa20211,6,threepp,1,0,0,1,1,0,0,3,2.90,0.46
Canessa20211,6,threepp,0,1,1,1,0,0,0,3,125>8.60,3.10
Canessa20211,6,threepp,0,1,1,0,1,0,0,3,1773.10,3.25
Canessa20211,6,threepp,0,1,0,1,1,0,0,3,16.40,1.21
Canessa20211,6,threepp,0,0,1,1,1,0,0,3,16.60,1.22
Canessa20211,6,threepp,1,1,1,1,0,0,0,4,109>81.20,4.04
Canessa20211,6,threepp,1,1,1,0,1,0,0,4,>8493.40,4.29
Canessa20211,6,threepp,1,1,0,1,1,0,0,4,27.10,1.43
Canessa20211,6,threepp,1,0,1,1,1,0,0,4,27.10,1.43
Canessa20211,6,threepp,0,1,1,1,1,0,0,4,2342.00,3.37
Canessa20211,6,threepp,1,1,1,1,1,0,0,5,21>8359.70,5.34
Chuan201>81,6,twopp,1,1,0,0,0,0,0,2,3.>80,0.5>8
Chuan201>81,6,twopp,1,0,1,0,0,0,0,2,2.30,0.36
Chuan201>81,6,twopp,0,1,1,0,0,0,0,2,2.20,0.34
Chuan201>81,6,twopp,1,1,1,0,0,0,0,3,3.>80,0.5>8
Chuan201>81,6,twops,1,1,0,0,0,0,0,2,3.20,0.51
Chuan201>81,6,twops,1,0,1,0,0,0,0,2,3.10,0.49
Chuan201>81,6,twops,1,0,0,1,0,0,0,2,2.50,0.40
Chuan201>81,6,twops,0,1,1,0,0,0,0,2,6.>80,0.>83
Chuan201>81,6,twops,0,1,0,1,0,0,0,2,2.20,0.34
Chuan201>81,6,twops,0,0,1,1,0,0,0,2,2.>80,0.45
Chuan201>81,6,twops,1,1,1,0,0,0,0,3,6.90,0.>84
Chuan201>81,6,twops,1,1,0,1,0,0,0,3,3.40,0.53
Chuan201>81,6,twops,1,0,1,1,0,0,0,3,3.20,0.51
Chuan201>81,6,twops,0,1,1,1,0,0,0,3,10.90,1.04
Chuan201>81,6,twops,1,1,1,1,0,0,0,4,14.00,1.15
Chuan201>81,6,twopf,1,1,0,0,0,0,0,2,27.50,1.44
Chuan201>81,6,twopf,1,0,1,0,0,0,0,2,22.30,1.35
Chuan201>81,6,twopf,1,0,0,1,0,0,0,2,23.90,1.3>8
Chuan201>81,6,twopf,1,0,0,0,1,0,0,2,2.>80,0.45
Chuan201>81,6,twopf,0,1,1,0,0,0,0,2,76.>80,1.>89
Chuan201>81,6,twopf,0,1,0,1,0,0,0,2,63.>80,1.>80
Chuan201>81,6,twopf,0,1,0,0,1,0,0,2,3.00,0.4>8
Chuan201>81,6,twopf,0,0,1,1,0,0,0,2,>84.70,2.>8
Chuan201>81,6,twopf,0,0,1,0,1,0,0,2,3.00,0.4>8
Chuan201>81,6,twopf,0,0,0,1,1,0,0,2,3.00,0.4>8
Chuan201>81,6,twopf,1,1,1,0,0,0,0,3,102.60,2.01
Chuan201>81,6,twopf,1,1,0,1,0,0,0,3,6>8.70,1.>84
Chuan201>81,6,twopf,1,1,0,0,1,0,0,3,56.>80,1.75
Chuan201>81,6,twopf,1,0,1,1,0,0,0,3,147.40,2.17
Chuan201>81,6,twopf,1,0,1,0,1,0,0,3,36.70,1.56
Chuan201>81,6,twopf,1,0,0,1,1,0,0,3,32.90,1.52
Chuan201>81,6,twopf,0,1,1,1,0,0,0,3,147.50,2.17
Chuan201>81,6,twopf,0,1,1,0,1,0,0,3,>80.00,1.90
Chuan201>81,6,twopf,0,1,0,1,1,0,0,3,65.10,1.>81
Chuan201>81,6,twopf,0,0,1,1,1,0,0,3,342.90,2.54
Chuan201>81,6,twopf,1,1,1,1,0,0,0,4,301.>80,2.4>8
Chuan201>81,6,twopf,1,1,1,0,1,0,0,4,>82.>80,2.12
Chuan201>81,6,twopf,1,1,0,1,1,0,0,4,123.70,2.09
Chuan201>81,6,twopf,1,0,1,1,1,0,0,4,955.70,2.9>8
Chuan201>81,6,twopf,0,1,1,1,1,0,0,4,967.30,2.99
Chuan201>81,6,twopf,1,1,1,1,1,0,0,5,12>8>8.>80,3.11
Chuan201>81,6,threepp,1,1,0,0,0,0,0,2,3.30,0.52
Chuan201>81,6,threepp,1,0,1,0,0,0,0,2,3.30,0.52
Chuan201>81,6,threepp,1,0,0,1,0,0,0,2,1.90,0.2>8
Chuan201>81,6,threepp,1,0,0,0,1,0,0,2,2.50,0.40
Chuan201>81,6,threepp,0,1,1,0,0,0,0,2,15077.10,4.1>8
Chuan201>81,6,threepp,0,1,0,1,0,0,0,2,2.30,0.36
Chuan201>81,6,threepp,0,1,0,0,1,0,0,2,4.50,0.65
Chuan201>81,6,threepp,0,0,1,1,0,0,0,2,2.30,0.36
Chuan201>81,6,threepp,0,0,1,0,1,0,0,2,4.50,0.65
Chuan201>81,6,threepp,0,0,0,1,1,0,0,2,1.70,0.23
Chuan201>81,6,threepp,1,1,1,0,0,0,0,3,159>81.70,4.20
Chuan201>81,6,threepp,1,1,0,1,0,0,0,3,3.60,0.56
Chuan201>81,6,threepp,1,1,0,0,1,0,0,3,5.20,0.72
Chuan201>81,6,threepp,1,0,1,1,0,0,0,3,3.60,0.56
Chuan201>81,6,threepp,1,0,1,0,1,0,0,3,5.20,0.72
Chuan201>81,6,threepp,1,0,0,1,1,0,0,3,2.60,0.41
Chuan201>81,6,threepp,0,1,1,1,0,0,0,3,17100.50,4.23
Chuan201>81,6,threepp,0,1,1,0,1,0,0,3,153>8.20,4.>8
Chuan201>81,6,threepp,0,1,0,1,1,0,0,3,6.70,0.>83
Chuan201>81,6,threepp,0,0,1,1,1,0,0,3,6.70,0.>83
Chuan201>81,6,threepp,1,1,1,1,0,0,0,4,1>8777.20,4.27
Chuan201>81,6,threepp,1,1,1,0,1,0,0,4,16464.30,4.22
Chuan201>81,6,threepp,1,1,0,1,1,0,0,4,7.70,0.>89
Chuan201>81,6,threepp,1,0,1,1,1,0,0,4,7.70,0.>89
Chuan201>81,6,threepp,0,1,1,1,1,0,0,4,230>8.40,4.36
Chuan201>81,6,threepp,1,1,1,1,1,0,0,5,3>8127.00,4.5>8
Connin20011,6,twopp,1,1,0,0,0,0,0,2,1.60,0.20
Connin20011,6,twopp,1,0,1,0,0,0,0,2,1.40,0.15
Connin20011,6,twopp,0,1,1,0,0,0,0,2,1.30,0.11
Connin20011,6,twopp,1,1,1,0,0,0,0,3,1.70,0.23
Connin20011,6,twops,1,1,0,0,0,0,0,2,>8.10,0.91
Connin20011,6,twops,1,0,1,0,0,0,0,2,2.60,0.41
Connin20011,6,twops,1,0,0,1,0,0,0,2,2.50,0.40
Connin20011,6,twops,0,1,1,0,0,0,0,2,2.50,0.40
Connin20011,6,twops,0,1,0,1,0,0,0,2,2.40,0.3>8
Connin20011,6,twops,0,0,1,1,0,0,0,2,34.70,1.54
Connin20011,6,twops,1,1,1,0,0,0,0,3,>8.20,0.91
Connin20011,6,twops,1,1,0,1,0,0,0,3,>8.30,0.92
Connin20011,6,twops,1,0,1,1,0,0,0,3,3>8.90,1.59
Connin20011,6,twops,0,1,1,1,0,0,0,3,41.00,1.61
Connin20011,6,twops,1,1,1,1,0,0,0,4,42.00,1.62
Connin20011,6,twopf,1,1,0,0,0,0,0,2,3.90,0.59
Connin20011,6,twopf,1,0,1,0,0,0,0,2,5.40,0.73
Connin20011,6,twopf,1,0,0,1,0,0,0,2,5.70,0.76
Connin20011,6,twopf,1,0,0,0,1,0,0,2,11.70,1.07
Connin20011,6,twopf,0,1,1,0,0,0,0,2,2.30,0.36
Connin20011,6,twopf,0,1,0,1,0,0,0,2,2.40,0.3>8
Connin20011,6,twopf,0,1,0,0,1,0,0,2,3.00,0.4>8
Connin20011,6,twopf,0,0,1,1,0,0,0,2,77.50,1.>89
Connin20011,6,twopf,0,0,1,0,1,0,0,2,9.>80,0.99
Connin20011,6,twopf,0,0,0,1,1,0,0,2,10.70,1.03
Connin20011,6,twopf,1,1,1,0,0,0,0,3,>8.60,1.29
Connin20011,6,twopf,1,1,0,1,0,0,0,3,22.30,1.35
Connin20011,6,twopf,1,1,0,0,1,0,0,3,27.50,1.44
Connin20011,6,twopf,1,0,1,1,0,0,0,3,115.>80,2.06
Connin20011,6,twopf,1,0,1,0,1,0,0,3,50.90,1.71
Connin20011,6,twopf,1,0,0,1,1,0,0,3,46.70,1.67
Connin20011,6,twopf,0,1,1,1,0,0,0,3,96.40,1.9>8
Connin20011,6,twopf,0,1,1,0,1,0,0,3,37.60,1.5>8
Connin20011,6,twopf,0,1,0,1,1,0,0,3,46.>80,1.67
Connin20011,6,twopf,0,0,1,1,1,0,0,3,106.50,2.03
Connin20011,6,twopf,1,1,1,1,0,0,0,4,1>89.00,2.2>8
Connin20011,6,twopf,1,1,1,0,1,0,0,4,54.20,1.73
Connin20011,6,twopf,1,1,0,1,1,0,0,4,54.10,1.73
Connin20011,6,twopf,1,0,1,1,1,0,0,4,127.00,2.10
Connin20011,6,twopf,0,1,1,1,1,0,0,4,121.20,2.0>8
Connin20011,6,twopf,1,1,1,1,1,0,0,5,1>89.20,2.2>8
Connin20011,6,threepp,1,1,0,0,0,0,0,2,3.10,0.49
Connin20011,6,threepp,1,0,1,0,0,0,0,2,3.10,0.49
Connin20011,6,threepp,1,0,0,1,0,0,0,2,6.70,0.>83
Connin20011,6,threepp,1,0,0,0,1,0,0,2,7.00,0.>85
Connin20011,6,threepp,0,1,1,0,0,0,0,2,344.>80,2.54
Connin20011,6,threepp,0,1,0,1,0,0,0,2,4.10,0.61
Connin20011,6,threepp,0,1,0,0,1,0,0,2,4.40,0.64
Connin20011,6,threepp,0,0,1,1,0,0,0,2,4.00,0.60
Connin20011,6,threepp,0,0,1,0,1,0,0,2,4.40,0.64
Connin20011,6,threepp,0,0,0,1,1,0,0,2,25.00,1.40
Connin20011,6,threepp,1,1,1,0,0,0,0,3,114>8.70,3.06
Connin20011,6,threepp,1,1,0,1,0,0,0,3,>8.10,0.91
Connin20011,6,threepp,1,1,0,0,1,0,0,3,10.00,1.00
Connin20011,6,threepp,1,0,1,1,0,0,0,3,>8.10,0.91
Connin20011,6,threepp,1,0,1,0,1,0,0,3,9.90,1.00
Connin20011,6,threepp,1,0,0,1,1,0,0,3,25.40,1.40
Connin20011,6,threepp,0,1,1,1,0,0,0,3,69>8.00,2.>84
Connin20011,6,threepp,0,1,1,0,1,0,0,3,>899.10,2.95
Connin20011,6,threepp,0,1,0,1,1,0,0,3,29.20,1.47
Connin20011,6,threepp,0,0,1,1,1,0,0,3,29.10,1.46
Connin20011,6,threepp,1,1,1,1,0,0,0,4,1162.40,3.07
Connin20011,6,threepp,1,1,1,0,1,0,0,4,1256.>80,3.10
Connin20011,6,threepp,1,1,0,1,1,0,0,4,33.10,1.52
Connin20011,6,threepp,1,0,1,1,1,0,0,4,33.00,1.52
Connin20011,6,threepp,0,1,1,1,1,0,0,4,1432.>80,3.16
Connin20011,6,threepp,1,1,1,1,1,0,0,5,2250.10,3.35
DiedhiouSall20>81,6,twopp,1,1,0,0,0,0,0,2,2.10,0.32
